agency,description,name,price
RE/MAX Fine Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,904'}",185 Cathedral Rock Dr Oak Creek,"$925,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,074'}",193 Ridge Trail Dr The Ridge At Sedona Unit 1 Amd,"$879,000"
Luminous Realty,"{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '1,314'}",255 Airport Rd West Sedona,"$799,998"
Tinzie Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,154'}",51008 W Pete Rd Eagle Roost Airpark,"$1,100,000"
Jason Mitchell Real Estate,"{'Beds': '4', 'Baths': '4', 'Sq.Ft. Lot': '178,862'}",35XXX S State Route 89 Hwy  ,"$1,250,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,248'}",180 E Amaranth Dr  ,"$1,250,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,403'}",4950 Black Mountain Rd Black Mountain Ranches,"$1,250,000"
Century 21 Arizona West,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '3,588'}",840 S Vulture Mine Rd  ,"$1,250,000"
Platinum Living Realty,"{'Beds': '2', 'Baths': '4', 'Sq.Ft.': '2,191'}",3270 Maverick Dr Wickenburg Ranch,"$1,199,500"
Century 21 Arizona West,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '4,023'}",1300 S Kellis Rd Turtleback Mountain Ranch,"$1,199,000"
Arizona Legends Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,810'}",35800 S Gold Rock Circle Vista Royale Phase 2,"$1,150,000"
RE/MAX Fine Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,320'}",1310 Kenrick Dr  ,"$1,098,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,340'}",55606 N Vulture Mine Rd  ,"$1,085,000"
West Usa Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,630'}",1650 Hillside Dr Wickenburg Country Club Acres,"$1,035,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '2,644'}",4145 Fence Post Way Wickenburg Ranch,"$1,025,791"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '2,724'}",4385 Noble Dr Wickenburg Ranch,"$999,999"
Keller Williams Arizona Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft. Lot': '8,574'}",34352 N Tanglewood Pass Borgata - Unit 1A,"$862,705"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,286'}",31048 N Grace Ln Chandler Heights Ranches Unit III 9-052,"$850,000"
Realty One Group,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,979'}",820 W Rhea Rd Chandler Heights Ranches Unit IV,"$849,900"
Keller Williams Integrity First,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,545'}","27502 N Freedom St A Portion Of Lot 1, Record Of Survey Fee No. 2021-","$849,000"
Keller Williams Integrity First,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,545'}","27536 N Freedom St A Portion Of Lot 1, Record Of Survey Fee No. 2021-","$839,000"
Homesmart Lifestyles,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,809'}",32139 N Caspian Way Johnson Ranch Unit 14,"$825,000"
Paramount Properties Of Arizona Llc,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,237'}",1263 E Elysian Pass Encanterra,"$789,900"
Azreapm,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '4,397'}",32109 N Buckskin Rd Johnson Ranch Unit 52B,"$779,000"
Homesmart Lifestyles,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,820'}","27298 N Gary Rd Fenced & Front Landscaping Included! Ready Now, New Home - 1.2 Acre Lot - No Hoa -","$776,900"
On Q Property Management,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,773'}",42657 N Friend Ave Queen Creek Suburban Ranches,"$775,000"
West Usa Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,180'}",70 E Kennedia Dr Encanterra  Shea Homes At Johnson Farms,"$775,000"
Toll Brothers Real Estate,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '3,504'}",3910 W Abalone Ln The Preserve At San Tan,"$769,995"
Kj Elite Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,787'}",5160 Tatanka Loop Bison Draw At Bison Ridge,"$725,000"
Realty Executive Arizona Territory,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,363'}",1101 N Fairway Dr Show Low Country Club Estates: Lot 195 & N2 Lot 196,"$699,000"
Exp Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,138'}",2201 S Silver Oak Ave Sierra Pines Unit 7,"$699,000"
Exp Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,846'}",1840 N 36th Dr Country Club Manor Unit 2 Lot 132,"$649,500"
West Usa Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,026'}",520 S Rock Ridge Dr Show Low Bluff Phase 1A,"$619,000"
Delex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,429'}",1520 S Spruce Ln Lot 40 - Cardinal Landing In Torreon,"$576,000"
Advantage Realty Professionals,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,306'}",280 S 12th Ave Hillcrest,"$574,900"
"Real Broker Az, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,481'}",2681 W Maple Ln Cardinal Landing At Torreon,"$570,000"
Denmar Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '2,984'}",1680 N 36th Dr Country Club Manor Unit 2,"$555,000"
Advantage Realty Professionals,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,381'}",650 S Mountain Pines Ave Pine Haven,"$539,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,570'}",100 W Pine Haven Circle Pine Haven Unit 1,"$535,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,942'}",8246 Windward Dr #64 White Mountain Lake Vistas,"$530,000"
Pcd Realty Llc,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,565'}",7596 S Caminito Galano La Estancia De Tucson Sq20182610609,"$348,990"
"Real Broker Az, Llc","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,158'}",3639 W Sunbright Dr Sunnyvale(1-145),"$325,000"
RE/MAX Results,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,037'}",6232 N Catalano Villa Place Estates At San Joaquin,"$450,000"
Exp Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,304'}",6979 S Catchfly Ct Rancho Valencia (1-583),"$400,000"
Rincon Rising Real Estate,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,238'}",8561 E River Reserve Dr Arroyo Reserve,"$295,000"
Keller Williams Southern Arizona,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,342'}",63407 E Desert Highland Dr Saddlebrooke,"$559,000"
Tierra Antigua Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,836'}",7012 S 7th Ave Jamaican Estates (1-77),"$299,900"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,104'}",10431 E Windstorm Dr Silverado Hills Blk 1 (1-90),"$429,900"
Omni Homes International,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,917'}",8214 N Sombrero Point Dr Continental Reserve Blk. 10 (1-69),"$575,000"
Long Realty Company,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,855'}",4640 E Avenida Shelly Vistas De Loma Linda (1-15),"$1,199,000"
"Real Broker Az, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,494'}",842 W Calle Margarita Mission Manor No. 5,"$275,000"
RE/MAX Professionals,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,650'}",8586 N Coral Ridge Loop La Cholla Hills(1-313),"$475,000"
Tierra Antigua Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,506'}",210 S Atlanta St New Tucson Unit No. 4 (1-203),"$325,000"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,552'}",713 S Harry P Stagg Dr New Tucson No.2 (1-201),"$415,000"
Realty Executives Arizona Terr,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,768'}",13837 E Red Hawk Sky Trl Rancho Del Lago (389-465),"$540,000"
Help-U-Sell The Powell Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,718'}",1597 N Branding Place Andrada Ranch Estates,"$665,000"
Jason Mitchell Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,789'}","620 E Blue Rock Way Santa Rita Ranch (1-359), (Blk 1&2)","$335,000"
Long Realty Company,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,848'}",13599 E Rincon Ranch Rd Rincon Mesa Est,"$424,900"
Coldwell Banker Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,756'}",9706 S San Esteban Dr Rincon Trails (1-505),"$630,000"
Realty Executives Az Territory,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,264'}",13354 E Fourr Ranch Place Mountain View Ranch (1-362),"$770,000"
Omni Homes International,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,052'}",3250 E Mescalero Dr Rincon View Estates (1-87),"$669,000"
Tierra Antigua Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '1,971'}",10884 E Scenic Veranda Dr Santa Rita Ranch II (1-301),"$385,000"
Long Realty Company,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,268'}",9472 S San Esteban Dr Rincon Trails (1-505),"$634,900"
Mattamy Tucson Llc,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,000'}",12728 E Lightning Ranch Ln The Vistas At Rincon Knolls Sq20153450534,"$435,039"
Silver Alliance Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,310'}",8203 N 173rd Ave Granite Vista Phase 1D,"$824,900"
"Homes Arizona Real Estate, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,026'}",7210 N 175th Ave Romola Of Arizona Grape Fruit Unit No. 43 Resub Bl,"$799,000"
RE/MAX Professionals,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,790'}",7801 N 181st Ave Romola Of Arizona Grape Fruit Unit No. 42 Resubdiv,"$777,900"
Realty One Group,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '2,529'}",17608 W Cheryl Dr Waddell Az,"$750,000"
Aztech Realty Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,619'}","6902 N 183rd Ave Romola 46 Blks 4900-4907, 4924-4937, 4954-4961","$750,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,550'}",7127 N 185th Ave Romola Of Arizona Grape Fruit Unit No. 42 Resubdiv,"$715,000"
Exp Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '4,350'}",18435 W Palo Verde Ave Cortessa,"$710,000"
Alta Vista Llc,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,855'}",17250 W Loma Ln Granite Vista Phase 1C,"$700,260"
Homesmart,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,247'}",17946 W Echo Ln White Tank Foothills,"$695,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,858'}",17235 W Las Palmaritas Dr Granite Vista Phase 1D,"$690,000"
Realty Executives,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,858'}",17287 W El Caminito Dr Granite Vista Phase 1D,"$680,000"
Alta Vista Llc,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,855'}",17217 W Manzanita Dr Granite Vista Phase 1C,"$679,770"
Lgi Homes,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,174'}",11476 W Camden Dr Ridgeview,"$385,900"
Ctr Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,002'}",11600 W Longley Ln Agua Fria Ranch Phase 4,"$385,000"
Lgi Homes,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,174'}",11485 W Camden Dr Ridgeview,"$383,900"
Lgi Homes,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,174'}",11470 W Camden Dr Ridgeview,"$381,900"
Redfin Corporation,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,696'}",10835 N 114th Dr Youngtown Plat 6,"$374,900"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,298'}",11114 W Missouri Ave Youngtown Plat 4 Lots 595-601,"$340,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,012'}","11360 N 114th Ave Youngtown Plat 3 Lots 460-481, 501-539","$334,999"
Exp Realty,"{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '1,075'}",11222 W Duluth Ave Youngtown Plat 2 Lots 131-203 & Tr D,"$334,800"
Realty Executives,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,111'}",11317 W Connecticut Ave Youngtown Plat 2 Lots 131-203 & Tr D,"$324,000"
Delex Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,106'}",11339 N 114th Dr Youngtown Plat 6,"$310,000"
Realty Executives,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '808'}","11107 W Iowa Ave Youngtown Plat 3 Lots 460-481, 501-539","$304,900"
"W And Partners, Llc","{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '712'}",13021 N 113th Ave #I Anasazi,"$168,000"
Homesmart,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '1,904'}",36311 W Pima St  ,"$455,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,795'}",33542 W Pioneer St  ,"$450,000"
Arizona 1st Land & Home Re Co,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '960'}",36904 W Washington St  ,"$450,000"
"Real Broker Az, Llc","{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,948'}",3711 N 372nd Ln Unk,"$445,000"
Dpr Realty Llc,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,100'}",38712 W Sherman St Horseshoe Trls Amd,"$439,500"
Exp Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,780'}",2021 S 367th Ave Unk,"$434,900"
Arizona 1st Land & Home Re Co,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,767'}",37837 W Pierce St  ,"$429,900"
A.Z. & Associates,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,798'}",2568 S 347th Ave  ,"$429,900"
"Rockstar Realty Az, Llc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '1,757'}",2909 S 363rd Ave  ,"$425,000"
A.Z. & Associates,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,848'}",8631 N 391st Ave Silver Star Ranch 2Nd Amd,"$424,000"
Exp Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,434'}",3717 S 331st Ave Metes And Bounds,"$419,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,280'}",42513 W Bethany Home Rd West Valley Ranch Phase 2,"$410,000"
A.Z. & Associates,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '2,760'}",28410 N Crozier Rd  ,"$750,000"
"Decker And Associates Realty, Llc","{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '2,806'}",22636 W Desert Vista Trail Trl Tribley View Estates,"$750,000"
Caruso Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,802'}",29524 N 223rd Dr Surprise Estates,"$744,000"
Caruso Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,802'}",29619 N 224th Dr Surprise Estates,"$727,664"
Best Homes Real Estate,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '2,840'}",21016 W Patton Rd  ,"$719,000"
West Usa Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,290'}",22320 W Calle De Los Flores -- W  ,"$699,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,411'}",21028 N Denver Hill Dr Chaparral Rancheros Unit 2,"$695,000"
Caruso Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,526'}",29414 N 223rd Dr Surprise Estates,"$670,050"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,857'}",21332 W Old Paint Rd Team Roper Central,"$650,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,140'}",24927 W Red Robin Dr Patton Place Estates Unit 4 Amd,"$650,000"
West Usa Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,139'}",25645 W Blue Sky Dr Wide Open,"$650,000"
Hague Partners,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,000'}",23907 W Gambit Trl  ,"$649,000"
"Queen Valley Properties, Inc.","{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,740'}",2952 E Silver Tip Rd S24 T1s R10e,"$1,150,000"
"Real Broker Az, Llc","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,057'}",1900 W Running Deer Rd S4 T2s R10e,"$827,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,614'}",972 N Sherwood Way Queen Valley Estates Unit Two,"$527,500"
"Queen Valley Properties, Inc.","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,793'}",283 S Alta Vista Dr Lakeview Park No. 2 Amd,"$480,000"
My Home Group Real Estate,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,713'}",865 N Sherwood Way Queen Valley Estates,"$449,000"
Hague Partners,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,057'}",230 E Madeline Dr Queen Valley Estates Unit Three,"$350,000"
RE/MAX Vision Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,468'}",381 S Cholla Dr Lakeview Park No. 2 Amd,"$287,000"
"Queen Valley Properties, Inc.","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '961'}",213 W Morris Dr Lakeview Park No. 1,"$250,000"
Exp Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '840'}",505 E Donna Dr Queen Valley Estates Unit Five,"$230,000"
Hague Partners,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,249'}",108 N Etta Dr Queen Valley Estates Unit Three,"$195,000"
Exp Realty,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '399'}",50 W Oro Viejo Dr #71 Queen Valley Rv Resort,"$185,000"
Realty One Group,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,171'}",62 W Sahuaro Dr Lakeview Park No. 1,"$149,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,004'}",17462 E Fort Verde Rd Trilogy At Verde River Phase 3 Unit 3B,"$1,550,000"
Coldwell Banker Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,316'}",17828 E Oak Creek Canyon Ln Verde River Unit 7B,"$1,500,000"
Realty One Group,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,200'}",16912 E Desert Vista Trl Metes & Bounds,"$1,499,900"
Sonoran Properties Associates,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,945'}",18317 E Yeager Canyon Ct Trilogy At Verde River.,"$1,499,000"
Sonoran Properties Associates,"{'Beds': '2', 'Baths': '4', 'Sq.Ft.': '2,316'}",17438 E Desert Vista Trl Trilogy At Verde River,"$1,490,000"
Homesmart,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,316'}",17671 E Silver Sage Ln Tegavah Unit 2.1 & Replat Of Vista Verde Unit 1 Tr,"$1,445,000"
Sonoran Properties Associates,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,186'}",17552 E Desert Vista Trl Trilogy At Verde River,"$1,425,000"
Sonoran Properties Associates,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '2,681'}",17922 E Vista Desierto -- Trilogy At Verde River,"$1,399,000"
Tonto Verde Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '3,110'}",27113 N Palo Fiero Rd Tonto Verde Unit Three,"$1,399,000"
Tonto Verde Realty,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,433'}",16810 E Roy Rogers Rd Rio Verde Foot Hills,"$1,390,000"
Realty One Group,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,441'}",17350 E Woolsey Way Trilogy At Verde River,"$1,385,000"
RE/MAX Excalibur,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,002'}",26601 N Aguila Rd Tonto Verde Unit Three,"$1,350,000"
Realty One Group,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,064'}",15639 W Peak View Rd Saguaro View,"$1,100,000"
Fathom Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '2,749'}",11029 N Hershey St Toll At Prasada Phase 2 Unit F & Unit C - Sterling Grove,"$1,099,000"
Toll Brothers Real Estate,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,730'}",10702 N Folsom St Toll At Prasada Unit G Phase 3,"$1,034,929"
Home Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,411'}",16641 W Loma Verde Trl Sun City Grand Rincon,"$1,025,000"
Toll Brothers Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,229'}",17676 W Whitefish Dr Sterling Grove,"$999,995"
Toll Brothers Real Estate,"{'Beds': '2', 'Baths': '4', 'Sq.Ft.': '1,912'}",17676 W Whitefish Dr Toll At Prasada Unit Q Phase 2,"$999,995"
Toll Brothers Real Estate,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '2,730'}",10972 N Hershey St Toll At Prasada Phase 2 Unit F & Unit C Amd,"$999,995"
Toll Brothers Real Estate,"{'Beds': '2', 'Baths': '4', 'Sq.Ft.': '2,730'}",17380 W Carlisle Dr Toll At Prasada Phase 2 Unit F & Unit C Amd,"$999,995"
Kenneth James Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,000'}",15313 W Desert Vista Trl  ,"$997,000"
Toll Brothers Real Estate,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '2,730'}",17381 W Auburn St Toll At Prasada Phase 2 Unit F & Unit C Amd,"$969,995"
Toll Brothers Real Estate,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '2,730'}",17381 W Auburn St Toll At Prasada Phase 2 Unit F & Unit C Amd,"$969,995"
Toll Brothers Real Estate,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '2,730'}",17654 W Guthrie St Toll At Prasada Unit H Phase 3,"$947,995"
Limitless Real Estate,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '7,820'}",20541 E Sunset Ct Pecans Phase 2,"$4,750,000"
Polly Mitchell Global Realty,"{'Beds': '7', 'Baths': '7', 'Sq.Ft.': '7,158'}",24649 S 186th Place Queen Creek Equestrian Estates,"$4,500,000"
"Balboa Realty, Llc","{'Beds': '7', 'Baths': '7', 'Sq.Ft.': '7,819'}",20623 E Cloud Rd Pecan Lights,"$3,800,000"
Ct Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '6,582'}",20523 E Via De Palmas -- Pecans Phase 1,"$3,199,000"
Network Realty,"{'Beds': '8', 'Baths': '5', 'Sq.Ft.': '5,100'}",XXXX E Country Meadows Ct Picket Post,"$2,998,359"
Realty Executives,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '4,141'}",21326 E Stacey Rd Pegasus Airpark Units 3 And 4,"$2,900,000"
"Real Broker Az, Llc","{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '5,068'}",11253 W Golddust Dr Santo Vallarta,"$2,850,000"
West Usa Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,605'}",24848 S 198th Place Sonoqui Creek Village,"$2,650,000"
Homesmart,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '3,784'}",19868 E Vallejo St Whitewing At Whisper Ranch,"$2,400,000"
Homesmart Lifestyles,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,481'}",39701 N Country Ln Sun Valley Farms,"$2,340,000"
Homesmart Lifestyles,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '4,216'}",25326 S Grapefruit Dr  ,"$2,300,000"
Homesmart Lifestyles,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '5,321'}",24055 S 201st Place Pecans Phase 3,"$2,289,000"
Homesmart,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,606'}",21344 E Founders Rd Red Rock Village 1,"$289,900"
Realty Exchange,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '704'}",17065 E Peak Ln #282 2800,"$75,000"
Realty Executives Az Territory,"{'Beds': '2', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,758'}",224 S Mount Vernon Ave East Prescott,"$1,200,000"
Coldwell Banker Northland,"{'Beds': '2', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,500'}",18965 Silverado Dr Crossroads Ranch Phase 5 Amd,"$699,000"
Exp Realty Llc-Main,"{'Beds': '3', 'Baths': '1 F 1 3/4 1 1/2', 'Sq.Ft.': '3,990'}",8775 N Table Top Ln Sundown Acres 2,"$998,000"
Realty One Group Mtn Desert,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,100'}",98 Alpine St Pine Lakes,"$179,900"
West Usa Realty Of Prescott,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,726'}",2912 Vinny Dr Vista Verde Estates Unit 2,"$474,900"
West Usa Realty Of Prescott,"{'Beds': '5', 'Baths': '1 F 2 3/4', 'Sq.Ft.': '3,206'}",2600 W Bard Ranch Rd Granite Oaks 3,"$1,650,000"
West Usa Realty Of Prescott,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '2,954'}",14821 N Dragons Breath Ln Talking Rock Ranch Phase 3A,"$1,650,000"
Better Homes And Gardens Real Estate Bloomtree Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,703'}",2045 Golf Links Dr Golf Links Sub Revision Plat,"$524,900"
Keller Williams Arizona Realty,"{'Beds': '2', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '2,233'}",815 W Hoover Ln Alpine Dells,"$677,750"
Homesmart,"{'Beds': '3', 'Baths': '1 F 2 3/4 1 1/2', 'Sq.Ft.': '2,551'}",6344 E Cibola Circle  ,"$645,000"
National Realty Of Arizona,"{'Beds': '3', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '1,120'}",1632 W Lindley Dr Butte Haven,"$329,000"
Better Homes And Gardens Real Estate Bloomtree Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,360'}",236 Creekside Circle Pine Creek Estates Replat,"$400,000"
