agency,description,name,price
Mackey & Associates Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '792'}",51319 W Powell St William D Powells First Subdivision,"$199,999"
Arizona Legends Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,133'}",51539 W Donald Rd Sun Valley Acres Tracts 36-65,"$450,000"
Arizona Legends Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '960'}",50720 W Long Rifle Rd In Aguila,"$325,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,000'}",12007 W Southern Ave Meets N Bounds,"$1,300,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '4,048'}",6616 S 121st Ave Holly Acres,"$1,150,000"
Realty One Group,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,793'}",6023 S 115th Ave  ,"$690,000"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,563'}",5745 S 129th Ave  ,"$630,000"
"List With Freedom, Inc.","{'Beds': '9', 'Baths': '3', 'Sq.Ft.': '3,420'}",10223 W Raymond St Sunset Farms Unit 2,"$575,000"
Coldwell Banker Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,336'}",4212 S 104th Ln Sunset Farms Unit 1,"$549,000"
West Usa Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,048'}",11031 W Parkway Dr Verde Trails Parcel 3,"$539,900"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,015'}",12230 W Miami St Cantada Ranch,"$530,000"
Dalton Realty,"{'Beds': '1', 'Baths': '2', 'Sq.Ft.': '4,064'}",639 W Us Highway 60 Hwy Belmont Add,"$850,000"
Dalton Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,158'}",277 N Kellner Ave Northside Add To Superior,"$349,500"
Exp Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,258'}",492 W Santa Rita St Unrecorded Survey Of Part Se Sw Of Sec 35-1S-12E L,"$329,000"
Dalton Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,451'}",427 W Highlands Dr Superior Highlands Unit II,"$305,500"
Exp Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,485'}",200 W Sunset Dr Spring Garden Terrace,"$298,000"
My Home Group Real Estate,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,036'}",397 N Lobb Ave Addition To Superior Townsite,"$295,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,476'}",65 W Sunset Dr Palo Verde Heights No Two,"$289,000"
My Home Group Real Estate,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '906'}",219 W Sunset Dr Smith-Odonnell Tract,"$275,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,129'}",50615 W William Rd Eagle Roost Air Park,"$1,250,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,002'}",48421 N 529th Ave Rancho De Vaqueros,"$695,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,369'}",52730 W Williams Rd Rancho De Vaqueros,"$850,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,800'}",51243 W Hector Rd Eagle View Estates,"$350,000"
Keller Williams Arizona Realty,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '1'}",000 Rider - 3 Rd 5 Horse Ranch,"$1,200,000"
Arizona Best Real Estate,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '3,131'}",3637 S 97th Ln Jacquelynn Ranch,"$527,990"
Retsy,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,524'}",9341 W Encinas Ln Sunset Farms Unit 6,"$525,000"
Lennar Sales Corp,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,468'}",11012 W Trumbull Rd Verde Trails Parcels 1 & 2,"$519,990"
Arizona Best Real Estate,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '2,945'}",10848 W Luxton Ln Verde Trails,"$509,990"
Exp Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1'}",46 N Rainbow Ave Unrecorded Survey Of Part Se Sw Of Sec 35-1S-12E L,"$250,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,100'}",995 S Center Ave #B Belmont Addition,"$245,990"
Dalton Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft. Lot': '7,543'}",1044 S Western Ave Belmont Addition,"$225,000"
Engel & Volkers Gilbert,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '825'}",999 S Center Ave Belmont Addition To The Town Of Superior 4-027,"$220,000"
Keller Williams Southern Arizona,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,455'}",1673 N Curly Bill Dr  ,"$179,900"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,300'}",116 N 3rd St  ,"$480,000"
United Country Re Az Life Homes & Land,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,536'}",1576 N Orante Rd  ,"$169,000"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,560'}",1211 North St  ,"$260,000"
Long Realty Company,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '1,674'}",129 N 12th St Coronado Heights,"$400,000"
Copper Lodge Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,120'}",1851 N Rocking Robin Road Other/Unknown,"$109,990"
Realty One Group Integrity,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,192'}",116 N 1st St  ,"$190,000"
Keller Williams Southern Arizona,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,231'}",1212 Toughnut St Out Of Pima County,"$194,500"
